time,val_1,val_2

1,17.80,17.70

2,17.80,17.73

3,17.80,17.71

4,17.80,17.73

5,17.80,17.74

6,17.80,17.74

7,17.80,17.74

8,17.80,17.74

9,17.90,17.75

10,17.90,17.79

11,17.90,17.78

12,17.90,17.75

13,17.90,17.78

14,17.90,17.78

15,17.90,17.80

16,17.90,17.80

17,17.90,17.80

18,17.90,17.81

19,17.90,17.80

20,17.90,17.78

21,17.90,17.79

22,17.90,17.83

23,17.90,17.82

24,17.90,17.82

25,17.90,17.80

26,17.90,17.83

27,17.90,17.83

28,17.90,17.83

29,17.90,17.82

30,17.90,17.82

31,17.90,17.81

32,17.90,17.81

33,17.90,17.82

34,17.90,17.83

35,17.90,17.83

36,17.90,17.82

37,17.90,17.84

38,17.90,17.85

39,17.90,17.86

40,17.90,17.86

41,17.90,17.85

42,17.90,17.83

43,17.90,17.83

44,17.90,17.83

45,17.90,17.82

46,17.90,17.83

47,17.90,17.82

48,17.90,17.81

49,17.90,17.79

50,17.90,17.79

51,17.90,17.77

52,17.90,17.78

53,17.90,17.76

54,17.90,17.77

55,17.90,17.80

56,17.90,17.78

57,17.90,17.78

58,17.90,17.78

59,18.00,17.79

60,18.00,17.79

61,18.00,17.82

62,18.00,17.83

63,18.00,17.84

64,18.00,17.84

65,18.00,17.82

66,18.00,17.81

67,18.00,17.81

68,18.00,17.82

69,18.00,17.86

70,18.00,17.85

71,18.00,17.87

72,18.00,17.87

73,18.00,17.88

74,18.00,17.89

75,18.00,17.89

76,18.00,17.92

77,18.10,17.94

78,18.10,17.96

79,18.10,17.95

80,18.10,17.96

81,18.10,17.94

82,18.10,17.96

83,18.20,17.97

84,18.20,18.00

85,18.20,18.03

86,18.20,18.04

87,18.20,18.06

88,18.20,18.06

89,18.30,18.10

90,18.30,18.14

91,18.30,18.19

92,18.30,18.23

93,18.30,18.28

94,18.30,18.33

95,18.30,18.38

96,18.50,18.43

97,18.50,18.48

98,18.50,18.54

99,18.50,18.60

100,18.50,18.69

101,18.50,18.76

102,18.60,18.85

103,18.60,18.93

104,18.60,18.99

105,18.60,19.07

106,18.60,19.15

107,18.60,19.24

108,18.70,19.31

109,18.70,19.35

