time,val_1,val_2
0,0,0

1,20.70,20.53

2,20.70,20.51

3,20.70,20.54

4,20.70,20.53

5,20.70,20.53

6,20.70,20.51

7,20.70,20.50

8,20.70,20.53

9,20.70,20.53

10,20.70,20.52

11,20.70,20.53

12,20.70,20.54

13,20.70,20.54

14,20.70,20.55

15,20.70,20.54

16,20.70,20.55

17,20.70,20.58

18,20.70,20.56

19,20.70,20.58

20,20.70,20.59

21,20.70,20.61

22,20.70,20.63

23,20.70,20.63

24,20.70,20.64

25,20.70,20.65

26,20.70,20.64

27,20.70,20.63

28,20.70,20.65

29,20.70,20.63

30,20.70,20.63

31,20.70,20.61

32,20.70,20.59

33,20.70,20.58

34,20.70,20.56

35,20.70,20.56

36,20.70,20.55

37,20.70,20.54

38,20.70,20.51

39,20.70,20.52

40,20.70,20.54

41,20.70,20.55

42,20.70,20.54

43,20.70,20.53

44,20.70,20.53

45,20.70,20.54

46,20.70,20.55

47,20.70,20.55

48,20.70,20.58

49,20.70,20.56

50,20.70,20.56

51,20.70,20.55

52,20.70,20.55

53,20.70,20.57

54,20.70,20.58

55,20.70,20.59

56,20.70,20.59

57,20.70,20.58

58,20.70,20.59

59,20.70,20.60

60,20.70,20.60

61,20.70,20.60

62,20.70,20.60

63,20.70,20.60

64,20.70,20.60

65,20.70,20.59

66,20.70,20.60

67,20.70,20.59

68,20.70,20.58

69,20.70,20.56

70,20.70,20.58

71,20.70,20.58

72,20.70,20.60

73,20.70,20.62

74,20.70,20.59

75,20.70,20.60

76,20.70,20.60

77,20.70,20.60

78,20.70,20.60

79,20.70,20.61

80,20.70,20.56

81,20.70,20.56

82,20.70,20.54

83,20.70,20.51

84,20.70,20.53

85,20.70,20.50

86,20.70,20.50

87,20.70,20.50

88,20.70,20.50

89,20.70,20.51

90,20.70,20.55

91,20.70,20.58

92,20.70,20.58

93,20.70,20.60

94,20.70,20.60

95,20.70,20.61

96,20.70,20.60

97,20.70,20.60

98,20.70,20.60

99,20.70,20.60

100,20.70,20.59

101,20.70,20.58

102,20.70,20.58

103,20.70,20.56

104,20.70,20.57

