time,val_1,val_2

1,0,0

2,20.70,20.53

3,20.70,20.54

4,20.70,20.53

5,20.70,20.51

6,20.70,20.52

7,20.70,20.52

8,20.70,20.52

9,20.70,20.54

10,20.70,20.55

11,20.70,20.53

12,20.70,20.52

13,20.70,20.52

14,20.70,20.54

15,20.70,20.56

16,20.70,20.55

17,20.70,20.56

18,20.70,20.56

19,20.70,20.54

20,20.70,20.53

21,20.70,20.54

22,20.70,20.55

23,20.70,20.53

24,20.70,20.53

25,20.70,20.53

26,20.70,20.52

27,20.70,20.52

28,20.70,20.53

29,20.70,20.55

30,20.70,20.57

31,20.70,20.60

32,20.70,20.60

33,20.70,20.60

34,20.70,20.60

35,20.70,20.58

36,20.70,20.60

37,20.70,20.58

38,20.70,20.55

39,20.70,20.56

40,20.70,20.53

41,20.70,20.53

42,20.70,20.52

43,20.70,20.54

44,20.70,20.53

45,20.70,20.55

46,20.70,20.52

47,20.70,20.53

48,20.70,20.55

49,20.70,20.54

50,20.70,20.56

51,20.70,20.56

52,20.70,20.57

53,20.70,20.55

54,20.70,20.55

55,20.70,20.53

56,20.70,20.55

57,20.70,20.57

58,20.70,20.58

59,20.70,20.57

60,20.70,20.56

61,20.70,20.55

62,20.70,20.52

63,20.70,20.55

64,20.70,20.54

65,20.70,20.56

66,20.70,20.54

67,20.70,20.53

68,20.70,20.53

69,20.70,20.52

70,20.70,20.51

71,20.70,20.53

72,20.70,20.54

73,20.70,20.53

74,20.70,20.51

75,20.70,20.49

76,20.70,20.50

77,20.70,20.49

78,20.70,20.48

79,20.70,20.49

80,20.70,20.48

81,20.70,20.48

82,20.70,20.48

83,20.70,20.48

84,20.70,20.49

85,20.70,20.51

86,20.70,20.53

87,20.70,20.55

88,20.70,20.56

89,20.70,20.54

90,20.70,20.54

91,20.70,20.52

92,20.70,20.51

93,20.70,20.49

94,20.70,20.51

95,20.70,20.50

96,20.70,20.50

97,20.70,20.49

98,20.70,20.49

99,20.70,20.49

100,20.70,20.50

101,20.70,20.51

102,20.70,20.53

103,20.70,20.56

104,20.70,20.55

105,20.70,20.55

106,20.70,20.54

107,20.70,20.55

108,20.70,20.56

109,20.70,20.57

110,20.70,20.56

111,20.70,20.57

112,20.70,18.51

113,20.70,18.54

114,20.70,18.58

115,20.70,18.63

116,20.70,18.69

117,20.70,18.72

118,20.70,18.75

119,20.70,18.80

120,20.70,18.87

121,20.70,18.88

122,20.70,20.95

123,20.70,20.95

124,20.70,20.96

125,20.70,20.95

126,20.70,20.93

127,20.70,20.93

128,20.70,20.93

129,20.70,20.93

130,20.70,20.93

131,20.70,20.93

132,20.70,20.94

133,20.70,20.95

134,20.70,20.94

135,20.70,20.93

136,20.70,20.92

137,20.70,20.91

138,20.70,20.91

139,20.70,20.89

140,20.70,20.87

141,20.70,20.88

142,20.70,20.88

143,20.70,20.87

144,20.70,20.88

145,20.70,20.88

146,20.70,20.89

147,20.70,20.91

148,20.70,20.93

149,20.70,20.92

150,20.70,20.94

151,20.70,20.93

152,20.70,20.93

153,20.70,20.94

154,20.70,20.95

155,20.70,20.93

156,20.70,20.92

157,20.70,20.94

158,20.70,20.94

159,20.70,20.93

160,20.70,20.94

161,20.70,20.96

162,20.70,20.97

163,20.70,20.98

164,20.70,20.96

165,20.70,20.97

166,20.70,20.98

167,20.70,20.97

168,20.70,20.95

169,20.70,20.96

170,20.70,20.96

171,20.70,20.95

172,20.70,20.96

173,20.70,20.95

174,20.70,20.96

175,20.70,20.98

176,20.70,20.97

177,20.70,20.93

178,20.70,20.94

179,20.70,20.95

180,20.70,20.92

181,20.70,20.92

182,20.70,20.92

183,20.70,20.91

184,20.70,20.87

185,20.70,20.87

186,20.70,20.91

187,20.70,20.95

188,20.70,20.97

189,20.70,20.96

190,20.70,20.95

191,20.70,20.96

192,20.70,20.95

193,20.70,20.95

194,20.70,20.99

195,20.70,20.99

196,20.70,20.97

197,20.70,20.97

198,20.70,20.95

199,20.70,20.96

200,20.70,20.97

201,20.70,20.96

202,20.70,20.97

203,20.70,20.98

204,20.70,20.98

205,20.70,20.95

206,20.70,20.93

207,20.70,20.94

208,20.70,20.93

209,20.70,20.91

210,20.70,20.93

211,20.70,20.91

212,20.70,20.90

