time,val_1,val_2

1,20.80,21.40

2,20.80,21.39

3,20.80,21.40

4,20.80,21.41

5,20.80,21.38

6,20.80,21.35

7,20.80,21.36

8,20.80,21.34

9,20.80,21.34

10,20.80,21.34

11,20.80,21.36

12,20.80,21.36

13,20.80,21.36

14,20.80,21.37

15,20.80,21.38

16,20.80,21.40

17,20.80,21.41

18,20.80,21.41

19,20.80,21.42

20,20.80,21.43

21,20.80,21.42

22,20.80,21.41

23,20.80,21.41

24,20.80,21.40

25,20.80,21.40

26,20.80,21.40

27,20.80,21.41

28,20.80,21.44

29,20.80,21.44

30,20.80,21.45

31,20.80,21.43

32,20.80,21.42

33,20.80,21.40

34,20.80,21.39

35,20.80,21.39

36,20.80,21.39

37,20.80,21.37

38,20.80,21.37

39,20.80,21.38

40,20.80,21.35

41,20.80,21.37

42,20.80,21.39

43,20.80,21.39

44,20.80,21.42

45,20.80,21.42

46,20.80,21.40

47,20.80,21.39

48,20.80,21.38

49,20.80,21.36

50,20.80,21.36

51,20.80,21.33

52,20.80,21.33

53,20.80,21.33

54,20.80,21.31

55,20.80,21.31

56,20.80,21.31

57,20.80,21.31

58,20.80,21.29

59,20.80,21.32

60,20.80,21.34

61,20.80,21.36

62,20.80,21.37

63,20.80,21.35

64,20.80,21.34

65,20.80,21.33

66,20.80,21.34

67,20.80,21.35

68,20.80,21.38

69,20.80,21.35

70,20.80,21.33

71,20.80,21.32

72,20.80,21.32

73,20.80,21.34

74,20.80,21.37

75,20.80,21.38

76,20.80,21.39

77,20.80,21.38

78,20.80,21.37

79,20.80,21.39

80,20.80,21.42

81,20.80,21.43

82,20.80,21.41

83,20.80,21.39

84,20.80,21.40

85,20.80,21.37

86,20.80,21.35

87,20.80,21.35

88,20.80,21.36

89,20.80,21.35

90,20.80,21.34

91,20.80,21.32

92,20.80,21.33

93,20.80,21.30

94,20.80,21.23

95,20.70,21.14

96,20.70,21.01

97,20.70,20.88

98,20.70,20.68

99,20.70,20.48

100,20.70,20.28

101,19.50,20.14

102,19.50,20.00

103,19.50,19.91

104,19.50,19.86

105,19.50,19.86

106,19.50,19.91

107,19.80,19.99

108,19.80,20.10

109,19.80,20.26

110,19.80,20.39

111,19.80,20.50

112,19.80,20.62

113,20.20,20.71

114,20.20,20.82

115,20.20,20.92

116,20.20,21.00

117,20.20,21.07

118,20.20,21.15

119,20.60,21.23

120,20.60,21.29

121,20.60,21.34

122,20.60,21.36

123,20.60,21.40

124,20.60,21.42

125,20.60,21.41

126,20.70,21.41

127,20.70,21.39

128,20.70,21.33

129,20.70,21.26

130,20.70,21.22

131,20.70,21.18

132,20.50,21.16

133,20.50,21.11

134,20.50,21.07

135,20.50,21.05

136,20.50,21.01

137,20.50,20.96

138,20.30,20.98

139,20.30,20.99

140,20.30,20.98

141,20.30,21.00

142,20.30,21.03

143,20.30,21.06

144,20.70,21.12

145,20.70,21.18

146,20.70,21.26

147,20.70,21.35

148,20.70,21.41

149,20.70,21.49

150,20.90,21.58

151,20.90,21.65

152,20.90,21.72

153,20.90,21.77

154,20.90,21.78

155,20.90,21.79

156,21.10,21.77

157,21.10,21.73

158,21.10,21.64

159,21.10,21.52

160,21.10,21.40

161,21.10,21.25

162,21.10,21.05

163,21.10,20.87

164,21.10,20.68

165,21.10,20.44

166,21.10,20.24

167,21.10,20.03

168,21.10,19.88

169,21.10,19.74

170,21.10,19.56

171,21.10,19.42

172,21.10,19.31

173,21.10,19.17

174,21.10,19.06

175,21.10,18.97

176,21.10,18.87

177,21.10,18.79

178,21.10,18.69

179,21.10,18.61

180,21.10,18.54

181,20.90,18.45

182,20.90,18.35

183,20.90,18.27

184,20.90,18.17

185,20.90,18.07

186,20.90,17.96

187,20.20,17.86

188,20.20,17.77

189,20.20,17.65

190,20.20,17.54

191,20.20,17.43

192,20.20,17.35

193,19.40,17.25

